sample-id,absolute-filepath,direction
S2_22,/projects/p31629/calumet-pilot/raw_reads/round3/S2-4-2-2019_L001_R1_001.fastq.gz,forward
S2_22,/projects/p31629/calumet-pilot/raw_reads/round3/S2-4-2-2019_L001_R2_001.fastq.gz,reverse
S2_23,/projects/p31629/calumet-pilot/raw_reads/round3/S2-6_11_2019_L001_R1_001.fastq.gz,forward
S2_23,/projects/p31629/calumet-pilot/raw_reads/round3/S2-6_11_2019_L001_R2_001.fastq.gz,reverse
S2_24,/projects/p31629/calumet-pilot/raw_reads/round3/S2-6_18_2019_L001_R1_001.fastq.gz,forward
S2_24,/projects/p31629/calumet-pilot/raw_reads/round3/S2-6_18_2019_L001_R2_001.fastq.gz,reverse
S2_25,/projects/p31629/calumet-pilot/raw_reads/round3/S2-7_2_2019_L001_R1_001.fastq.gz,forward
S2_25,/projects/p31629/calumet-pilot/raw_reads/round3/S2-7_2_2019_L001_R2_001.fastq.gz,reverse
S2_26,/projects/p31629/calumet-pilot/raw_reads/round3/S2-7-30-2019_L001_R1_001.fastq.gz,forward
S2_26,/projects/p31629/calumet-pilot/raw_reads/round3/S2-7-30-2019_L001_R2_001.fastq.gz,reverse
S2_27,/projects/p31629/calumet-pilot/raw_reads/round3/S2-7_9_2019_L001_R1_001.fastq.gz,forward
S2_27,/projects/p31629/calumet-pilot/raw_reads/round3/S2-7_9_2019_L001_R2_001.fastq.gz,reverse
S2_28,/projects/p31629/calumet-pilot/raw_reads/round3/S2-8-13-2019_L001_R1_001.fastq.gz,forward
S2_28,/projects/p31629/calumet-pilot/raw_reads/round3/S2-8-13-2019_L001_R2_001.fastq.gz,reverse
S2_29,/projects/p31629/calumet-pilot/raw_reads/round3/S2-8_20_2019_L001_R1_001.fastq.gz,forward
S2_29,/projects/p31629/calumet-pilot/raw_reads/round3/S2-8_20_2019_L001_R2_001.fastq.gz,reverse
S2_30,/projects/p31629/calumet-pilot/raw_reads/round3/S2-8_27_2019_L001_R1_001.fastq.gz,forward
S2_30,/projects/p31629/calumet-pilot/raw_reads/round3/S2-8_27_2019_L001_R2_001.fastq.gz,reverse
S2_31,/projects/p31629/calumet-pilot/raw_reads/round3/S2-9_10_2019_L001_R1_001.fastq.gz,forward
S2_31,/projects/p31629/calumet-pilot/raw_reads/round3/S2-9_10_2019_L001_R2_001.fastq.gz,reverse
S2_32,/projects/p31629/calumet-pilot/raw_reads/round3/S2-9_17_2019_L001_R1_001.fastq.gz,forward
S2_32,/projects/p31629/calumet-pilot/raw_reads/round3/S2-9_17_2019_L001_R2_001.fastq.gz,reverse
S2_33,/projects/p31629/calumet-pilot/raw_reads/round3/S2-9_24_2019_L001_R1_001.fastq.gz,forward
S2_33,/projects/p31629/calumet-pilot/raw_reads/round3/S2-9_24_2019_L001_R2_001.fastq.gz,reverse
S2_34,/projects/p31629/calumet-pilot/raw_reads/round3/S2-9_3_2019_L001_R1_001.fastq.gz,forward
S2_34,/projects/p31629/calumet-pilot/raw_reads/round3/S2-9_3_2019_L001_R2_001.fastq.gz,reverse
S2_35,/projects/p31629/calumet-pilot/raw_reads/round3/S2-10_1_2019_L001_R1_001.fastq.gz,forward
S2_35,/projects/p31629/calumet-pilot/raw_reads/round3/S2-10_1_2019_L001_R2_001.fastq.gz,reverse
S2_36,/projects/p31629/calumet-pilot/raw_reads/round3/S2-10_8_2019_L001_R1_001.fastq.gz,forward
S2_36,/projects/p31629/calumet-pilot/raw_reads/round3/S2-10_8_2019_L001_R2_001.fastq.gz,reverse
S_21,/projects/p31629/calumet-pilot/raw_reads/round3/S-7_16_2019_L001_R1_001.fastq.gz,forward
S_21,/projects/p31629/calumet-pilot/raw_reads/round3/S-7_16_2019_L001_R2_001.fastq.gz,reverse
S_22,/projects/p31629/calumet-pilot/raw_reads/round3/S-7_30_2019_L001_R1_001.fastq.gz,forward
S_22,/projects/p31629/calumet-pilot/raw_reads/round3/S-7_30_2019_L001_R2_001.fastq.gz,reverse
S_23,/projects/p31629/calumet-pilot/raw_reads/round3/S-7_9_2019_L001_R1_001.fastq.gz,forward
S_23,/projects/p31629/calumet-pilot/raw_reads/round3/S-7_9_2019_L001_R2_001.fastq.gz,reverse
S_24,/projects/p31629/calumet-pilot/raw_reads/round3/S-8_13_2019_L001_R1_001.fastq.gz,forward
S_24,/projects/p31629/calumet-pilot/raw_reads/round3/S-8_13_2019_L001_R2_001.fastq.gz,reverse
S_25,/projects/p31629/calumet-pilot/raw_reads/round3/S-8_20_2019_L001_R1_001.fastq.gz,forward
